blueTeamControlWardsPlaced,blueTeamWardsPlaced,blueTeamTurretPlatesDestroyed,blueTeamFirstBlood,blueTeamMinionsKilled,blueTeamJungleMinions,redTeamControlWardsPlaced,redTeamWardsPlaced,redTeamTurretPlatesDestroyed,redTeamMinionsKilled,redTeamJungleMinions,blueWin,GoldDifference,XpDifference,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference
5,36,6,0,378,113,5,32,8,364,91,1,3294,2801,3974,3,1,0,0,0
4,26,6,0,402,90,4,27,10,350,98,0,659,-2175,-8764,-6,-2,0,0,0
5,27,7,0,304,82,7,31,1,373,90,0,-4913,-4288,-7845,-6,0,0,-2,0
7,62,8,0,374,77,5,26,3,392,74,1,-955,-2200,-10292,1,-2,0,0,0
6,37,7,0,292,65,6,86,2,359,86,0,-5625,-4808,-9013,-7,-2,0,-1,0
1,20,11,0,238,50,2,53,6,350,73,0,-12336,-6089,-20908,-15,0,0,-4,0
6,26,3,1,390,92,3,28,10,349,88,1,764,1511,1967,-1,-1,1,0,0
2,28,6,0,311,80,8,70,6,340,99,0,-3511,-1811,-877,-2,-2,0,-2,0
4,35,8,1,341,97,4,30,3,394,86,1,-3005,-2128,-4768,-6,-2,0,-2,0
6,26,7,0,364,106,3,24,5,360,108,1,2598,1574,6644,7,2,0,-2,0
6,27,6,0,338,107,4,27,3,369,92,0,-1159,290,967,0,-1,-1,1,0
2,26,6,1,378,96,3,23,11,365,96,1,3277,710,2422,6,0,0,2,0
3,29,12,0,334,85,3,90,4,401,110,0,-8753,-6629,-16701,-19,0,0,-3,0
6,25,7,1,345,75,2,29,5,398,88,0,-116,-347,9839,3,-2,0,-2,0
2,25,3,0,365,83,4,26,13,327,76,1,4716,1413,3741,1,-1,0,2,0
3,24,4,0,356,89,3,25,7,303,78,1,1584,1308,-3978,-3,0,0,1,0
5,25,7,1,319,99,2,30,6,341,68,0,-917,-2056,-7150,-3,2,0,-1,0
2,26,7,1,360,106,3,29,5,319,66,1,5640,2368,4211,5,2,0,0,0
3,25,6,1,371,90,0,32,7,378,94,0,96,-1170,384,1,0,0,-2,0
4,42,9,0,321,69,2,161,3,345,106,0,-4283,-4396,-4687,-8,-2,-1,-1,0
5,25,13,0,311,72,6,29,9,334,95,0,-7687,-5130,-2366,-12,0,0,-2,0
3,21,4,0,374,94,4,17,8,349,93,1,3548,2974,10560,5,2,1,3,0
2,29,10,0,374,84,3,40,2,386,108,0,-7378,-4764,-10100,-11,-2,-1,-2,0
9,36,6,0,363,78,4,59,5,380,77,0,-2845,-678,1307,-1,1,0,-2,0
6,24,10,0,344,73,2,28,3,379,88,0,-5333,-3703,-2593,-6,0,0,-2,0
2,27,7,0,346,82,1,29,5,330,93,1,-46,-650,237,-2,1,0,-1,0
2,22,10,0,381,77,4,28,3,371,98,1,-2257,-479,-2204,-2,-1,0,0,0
4,52,8,0,302,90,2,24,4,379,106,0,-4027,-6309,-7225,-7,-1,0,-1,0
3,20,4,0,392,96,3,58,13,339,90,1,11723,7116,19880,13,2,0,3,0
3,30,6,1,356,98,2,32,1,388,109,0,-3187,-3966,-7070,-5,2,1,-1,0
3,26,6,1,355,67,3,50,3,344,122,0,-339,-344,4730,-2,-2,0,0,0
5,29,9,0,321,106,5,102,2,390,90,0,-7115,-3505,-5284,-9,2,0,-2,0
3,27,3,0,365,99,3,30,4,377,99,0,1291,-199,6481,2,-1,0,0,0
7,27,6,0,368,90,3,23,5,322,102,1,1543,1377,-173,2,2,1,0,0
7,33,9,1,366,66,4,80,7,414,98,1,-2588,-1173,-3479,1,-1,0,-3,0
4,39,1,1,398,108,1,19,7,356,82,1,2848,1288,7532,4,-2,0,2,0
6,25,5,0,404,90,3,28,2,409,70,0,-2419,-1126,-6782,-6,-2,0,-1,0
3,24,5,1,322,102,4,50,3,350,98,1,-3680,-4244,-774,-10,2,0,-1,0
3,27,1,1,378,88,3,29,2,351,93,1,2099,846,-569,2,0,0,1,0
5,28,6,1,315,61,5,28,6,332,89,1,-2631,-1287,-5174,-4,2,0,-1,0
3,25,4,1,417,84,4,33,5,366,105,1,2283,2540,5942,6,2,0,-1,0
2,24,6,1,417,82,2,26,11,381,105,0,-1847,-272,7123,-3,-2,0,0,0
5,28,6,0,359,95,1,20,11,322,76,1,1471,1046,-6005,-3,0,0,1,0
5,24,6,0,337,91,5,31,6,352,96,0,1512,1476,-9393,2,0,1,0,0
2,32,7,1,350,80,6,31,5,347,70,0,-2765,-2376,4769,-11,2,0,-1,0
1,26,9,1,312,95,3,23,4,382,93,0,-142,-2167,-7151,-1,-2,0,-1,0
4,37,3,1,327,72,2,29,5,346,115,0,4848,2358,2262,13,0,0,1,0
7,34,9,0,352,104,4,35,4,360,107,0,-1193,-843,-4510,0,-2,-1,0,0
4,34,6,1,387,122,3,41,6,327,68,1,4653,3482,-197,2,-1,0,-1,0
13,31,5,1,288,87,5,26,3,332,86,1,352,-1848,-1874,2,0,-1,1,0
3,33,4,0,369,70,10,71,2,354,78,0,-1754,-1810,-8396,-4,1,0,-1,0
11,35,4,1,356,79,4,36,5,331,98,1,4904,429,1431,7,-2,1,-1,0
5,29,5,1,377,96,7,32,7,346,71,1,4867,4602,16706,6,2,0,-1,0
2,52,9,1,364,89,7,33,3,361,90,0,935,2322,5969,6,2,0,0,0
2,18,9,0,368,76,3,28,3,429,100,0,-8501,-5032,-13096,-9,-1,0,-4,0
8,158,5,1,322,95,6,33,7,396,80,0,-3032,-4090,-1196,-9,2,0,0,0
7,28,2,1,370,88,3,26,11,352,96,1,9744,3155,13152,15,2,0,1,0
1,23,8,1,349,78,6,69,6,347,71,0,1737,1212,8292,3,0,0,-1,0
5,30,10,0,359,94,6,28,3,392,81,1,-3743,-850,-6223,-5,-1,0,-1,0
5,54,6,0,387,85,2,31,7,395,78,0,-3518,-428,-9607,-9,-1,0,-1,0
1,19,7,0,347,102,2,92,15,347,77,1,5129,2351,4010,8,1,0,1,0
4,27,6,1,383,110,3,27,13,334,94,1,7387,5326,17066,13,1,0,1,0
2,30,5,1,377,93,4,29,3,385,85,0,1200,-469,9759,4,0,0,0,0
2,25,7,0,323,74,4,33,5,317,90,1,-501,-252,-3280,1,-1,0,0,0
5,29,6,0,352,86,1,95,2,350,78,1,-2002,-1478,-2394,-5,2,0,0,0
9,35,5,0,372,56,6,28,3,330,102,1,-661,-1128,4267,-1,-2,0,0,0
6,41,5,0,353,96,4,26,6,339,73,0,2215,1490,-271,1,0,0,1,0
4,29,8,1,390,76,2,30,6,374,99,0,-1298,-3032,-3796,-6,-1,0,0,0
4,63,4,0,385,88,3,74,7,355,81,0,572,-1264,2003,-2,2,0,0,0
4,29,6,1,360,102,2,25,2,405,90,0,-1963,-507,-6498,-4,-2,0,1,0
1,36,6,1,400,96,5,182,7,388,91,1,2791,2840,431,4,0,1,1,0
2,19,7,1,393,68,5,91,2,296,118,1,2374,1647,7765,2,1,0,-1,0
6,27,4,1,354,80,3,27,8,343,100,1,708,-460,4706,2,-1,0,0,0
2,25,5,1,349,100,4,39,2,377,84,0,-668,-353,1486,0,-2,0,0,0
0,86,6,0,309,97,7,60,3,291,73,1,1191,4337,5211,1,-1,0,-1,0
3,28,5,1,353,99,1,20,3,339,90,1,1594,1077,-6120,2,2,0,0,0
1,19,9,0,361,114,1,20,3,424,102,0,-4752,-2987,-6320,-5,-2,0,-1,0
6,29,3,1,382,92,8,45,9,394,90,1,1864,-1025,347,5,1,1,1,0
2,27,4,0,386,62,8,27,9,385,97,1,3930,2594,7939,5,-1,1,1,0
6,28,4,1,413,104,2,21,8,379,99,1,3399,253,2687,2,2,1,2,0
5,32,5,1,363,88,4,40,1,388,75,0,-760,233,1838,-2,-2,1,0,0
2,30,8,0,327,92,3,29,5,405,77,0,-1380,-1806,5025,-2,0,1,0,0
3,25,9,0,382,88,1,23,5,389,84,0,-3672,-2961,-2212,-7,0,1,-1,0
5,21,10,1,283,80,4,190,6,380,99,0,-10309,-8323,-18559,-14,1,-1,-3,0
5,32,8,1,342,88,4,33,8,331,120,0,397,-1009,3683,1,-2,1,1,0
1,101,3,1,317,84,3,26,5,371,92,1,3198,1624,2765,7,2,1,1,0
4,29,3,1,404,60,3,22,5,374,75,1,887,807,-5791,1,1,1,0,0
5,30,6,1,315,91,2,20,5,352,80,0,-5669,-3234,-2154,-8,1,-1,-3,0
2,20,3,1,384,100,1,25,14,358,85,1,6297,1481,2618,7,1,1,1,0
6,27,9,1,342,77,3,26,3,369,54,1,222,-858,-965,1,0,1,-1,0
2,32,6,1,361,82,1,22,3,377,91,0,-579,-450,-380,4,2,-1,-2,0
2,37,13,0,287,68,2,22,4,351,99,0,-8791,-6635,-11966,-12,-2,-1,-4,0
5,27,11,1,330,72,0,42,7,338,112,0,-5689,-4956,-11633,-7,-1,0,-3,0
7,145,2,1,357,104,0,22,6,370,76,1,83,-1299,7390,-2,0,0,1,0
3,62,9,0,346,97,8,67,3,343,94,0,-944,-127,-3801,-2,0,1,-1,0
3,23,10,1,358,84,6,200,2,356,82,0,-2729,-272,-4145,-2,-1,0,-3,0
3,23,4,1,334,91,2,31,7,316,80,1,9861,5013,10579,16,1,1,2,0
5,64,3,1,371,142,2,61,10,312,61,1,11111,7665,19475,15,0,1,3,0
4,26,7,1,366,89,4,23,7,327,66,1,2568,1953,-1914,0,0,0,2,0
5,34,5,1,364,85,1,96,12,261,84,1,6648,3913,2498,2,2,1,3,0
6,29,3,0,326,99,6,34,6,348,83,1,-880,124,4258,-2,-2,0,0,0
5,27,3,0,340,78,6,200,4,379,96,0,-2641,-2686,-928,-3,1,-1,0,0
5,33,9,0,328,74,1,34,4,322,67,1,-3918,-1553,-5167,-8,0,0,0,0
2,29,6,0,348,74,4,36,10,353,94,0,45,-328,-896,-1,-2,0,1,0
4,30,6,0,347,70,1,31,6,349,110,0,-3166,-630,-13307,-5,-2,-1,-3,0
3,28,9,0,307,88,4,33,8,321,102,1,-2216,276,-3585,-7,-1,0,-1,0
5,34,5,0,347,106,3,25,8,322,94,0,1504,687,3382,0,-2,0,1,0
7,29,4,1,378,78,1,42,9,286,88,1,5678,946,2124,2,2,0,0,0
3,32,5,1,336,114,2,27,6,348,80,0,2941,3712,-1305,3,-2,0,0,0
5,36,8,0,304,94,7,27,1,440,80,0,-10720,-6333,-9152,-11,-1,0,-3,0
2,28,9,1,299,97,3,22,4,376,94,0,-5307,-3936,-1581,-3,-2,0,-3,0
2,23,6,1,371,111,2,39,7,378,88,0,-2268,-566,-1199,-6,-2,0,-1,0
1,41,7,1,324,75,3,32,4,383,76,0,-5426,-5882,-661,-8,-1,0,-1,0
2,27,14,1,364,103,3,30,9,341,84,0,-5365,-2691,-9054,-10,0,-1,-3,0
2,21,10,0,348,85,6,29,4,342,96,0,-6164,-4595,-17563,-15,-2,-1,-2,0
6,47,9,0,328,85,3,28,3,367,112,0,-4204,-3795,-3735,-6,-2,-1,-2,0
6,40,6,1,375,96,3,23,7,341,96,1,6591,1624,13100,11,1,0,2,0
2,29,4,0,358,92,2,23,9,353,79,1,5368,839,5078,4,0,1,2,0
2,43,3,0,336,73,7,30,5,352,82,1,-1051,-833,-646,0,-1,0,0,0
3,30,10,1,340,95,4,21,7,339,95,0,1192,1469,4408,2,2,0,0,0
1,25,4,0,375,101,4,29,4,294,102,1,6766,5447,4438,13,2,0,0,0
4,26,6,0,381,89,3,57,6,350,94,1,79,-1037,8196,-4,-2,0,-1,0
4,20,2,1,380,88,2,26,5,298,100,0,3952,3110,4447,5,-2,0,1,0
4,27,7,1,352,69,5,28,6,380,110,1,-968,-1579,3173,1,0,1,0,0
1,22,7,0,351,90,3,25,4,370,86,0,-4102,-175,-2949,-10,-2,0,-2,0
2,25,6,0,349,96,12,36,6,358,99,1,-1744,693,-7011,-4,-2,0,1,0
3,24,5,1,310,98,3,19,12,338,88,1,186,-1739,769,-3,-1,-1,2,0
4,68,7,0,321,77,3,51,4,362,69,0,-3896,-3225,3938,-6,1,-1,-1,0
4,29,11,0,294,97,0,136,5,331,98,1,-4062,-1025,-5806,-5,0,1,-1,0
1,25,7,1,354,87,1,143,5,343,83,1,4415,1604,-642,6,0,-1,-2,0
2,142,12,0,343,88,4,31,5,381,87,0,-5026,-3031,-12518,-8,0,0,-1,0
1,21,7,1,335,108,2,27,4,370,98,1,522,-292,-102,4,0,0,-1,0
2,200,5,1,392,98,5,24,7,313,85,0,3153,4451,8069,1,0,1,0,0
3,27,7,0,381,72,0,130,6,393,102,0,-3412,-4090,-9763,-7,0,0,-1,0
5,35,6,1,365,101,4,24,3,331,74,1,3777,2779,11551,5,1,0,1,0
3,24,7,1,333,83,2,106,5,351,63,0,-3267,-1537,-7921,-6,-1,0,-2,0
5,31,3,1,361,117,5,28,6,372,66,1,1910,2748,-3737,3,2,0,0,0
3,38,5,0,393,81,4,21,3,366,89,0,349,1472,-4133,1,-1,0,0,0
6,40,6,1,319,74,1,17,13,272,66,1,6261,3857,-663,8,2,0,2,0
4,29,2,1,349,98,0,137,6,331,94,1,5502,3906,6903,8,0,0,-1,0
2,26,5,1,377,94,6,29,6,387,90,1,3957,127,10738,6,1,0,0,0
4,36,4,1,334,119,4,96,5,368,60,0,2752,386,-1731,4,1,1,0,0
4,32,6,0,359,78,2,20,8,314,98,1,-303,1460,-1156,0,-1,0,-2,0
2,23,5,1,382,82,1,134,2,388,100,0,-2432,-967,-12494,-4,2,0,0,0
2,26,8,0,380,111,2,93,4,368,96,1,-831,-386,-4208,-2,-2,1,0,0
3,32,8,0,367,71,6,137,4,401,87,0,-6434,-6967,-18974,-12,-2,0,-3,0
2,18,8,0,326,89,2,27,3,396,100,0,-4513,-3142,-19140,-6,-1,0,-1,0
5,86,9,1,381,91,1,26,3,377,84,1,4552,1974,1567,10,2,0,-2,0
3,33,9,1,317,81,2,200,4,401,94,1,1708,35,2149,5,-1,0,1,0
1,30,3,1,355,72,5,29,1,398,95,0,-1454,-1961,190,-2,-2,0,0,0
5,27,9,0,351,86,6,36,5,348,106,0,-2836,-1145,-7836,-6,1,0,-2,0
4,36,10,0,363,75,5,42,4,363,98,0,-1784,-3029,-14142,-5,-2,1,0,0
5,24,8,0,321,84,2,27,5,359,92,1,604,2873,8690,6,-1,-1,-2,0
0,25,8,1,306,78,3,26,6,390,104,1,-4335,-4163,-13416,-7,-2,0,0,0
4,28,6,0,356,105,5,37,2,356,90,0,-5551,-2947,-2596,-10,-2,-1,-1,0
2,28,9,0,321,66,2,25,7,329,82,0,-6228,-3796,-6608,-15,-1,-1,-1,0
3,29,8,0,336,96,5,39,4,367,80,0,-4450,-2731,-9680,-9,-2,0,-1,0
7,31,3,1,412,96,1,42,11,375,78,1,3373,1184,572,4,2,0,0,0
3,24,4,0,379,98,6,35,5,367,83,1,2646,2719,7030,2,-2,0,1,0
2,19,11,1,344,94,1,34,7,360,68,1,-556,-1845,1977,-1,0,0,-3,0
8,26,7,1,327,51,2,61,14,334,106,0,-3707,-3913,-8259,-6,-2,0,-1,0
2,34,6,0,351,76,2,34,8,343,63,0,-511,1637,-3337,-7,-1,0,2,0
2,25,10,0,311,68,3,51,2,366,94,0,-8116,-5488,-13627,-14,-1,0,-1,0
3,37,5,0,368,93,5,43,3,380,90,1,-1571,-1328,-12802,-6,-2,0,-1,0
1,23,2,1,387,96,5,200,10,393,112,1,37,-250,3106,-3,-2,0,1,0
5,47,4,1,368,95,4,87,7,316,72,1,8761,5718,15796,13,0,0,1,0
5,59,4,0,316,102,6,31,8,295,85,1,5436,6230,1782,8,0,0,1,0
5,34,7,0,364,100,5,23,10,354,91,0,1615,-221,10996,-3,2,0,0,0
6,29,5,1,312,84,4,25,2,354,128,0,-714,-1034,576,4,0,0,0,0
4,20,8,0,349,109,5,27,4,406,106,0,-3795,-1287,-4948,-2,-1,0,-1,0
4,24,6,1,341,95,5,38,6,320,75,0,1728,3754,-128,-2,2,1,1,0
5,27,9,1,354,75,3,25,2,383,92,0,-3355,-2134,-3599,2,-1,-1,-3,0
5,26,6,0,368,88,7,29,1,376,101,1,-469,842,-1826,2,2,0,0,0
4,25,11,0,350,84,2,27,5,408,103,0,-9801,-7089,-7003,-12,-2,-1,-3,0
4,28,9,1,357,73,8,45,3,327,109,0,-4308,-2604,-849,-7,1,0,-1,0
