blueTeamControlWardsPlaced,blueTeamWardsPlaced,blueTeamTurretPlatesDestroyed,blueTeamFirstBlood,blueTeamMinionsKilled,blueTeamJungleMinions,redTeamControlWardsPlaced,redTeamWardsPlaced,redTeamTurretPlatesDestroyed,redTeamMinionsKilled,redTeamJungleMinions,blueWin,GoldDifference,XpDifference,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference
2,23,5,0,388,106,6,34,2,400,94,1,-5714,-2815,-5397,-12,2,0,-2,0
2,46,7,0,348,98,6,26,6,373,76,0,-1118,210,-768,-5,1,0,0,0
2,19,8,0,331,96,3,200,5,340,84,0,-2384,37,-4945,-5,-1,0,-2,0
3,28,6,1,355,84,0,23,7,378,87,0,2176,-603,3109,-2,-1,1,1,0
3,30,5,0,370,100,7,26,7,382,96,1,1720,1591,7431,4,0,1,0,0
2,24,12,0,369,80,1,33,6,357,70,0,-4357,-3550,-8553,-12,-2,-1,-3,0
3,22,7,0,331,96,3,128,7,403,96,1,-867,744,-306,6,2,0,0,0
0,30,6,1,392,104,0,23,3,359,100,1,3729,1870,30,6,1,0,0,0
2,30,6,1,403,88,2,23,6,397,88,1,869,345,6062,-4,-1,0,1,0
2,34,7,0,314,96,5,28,4,381,88,0,-586,-1124,-5197,-1,-1,1,0,0
4,28,3,1,339,94,6,33,9,357,77,1,295,-1467,7301,-1,-2,-1,1,0
5,29,6,0,314,95,8,37,2,424,104,0,-5305,-2939,-10425,-4,-2,0,-1,0
2,27,8,0,397,81,4,32,1,392,102,0,-4224,377,-771,-7,-2,0,-1,0
4,53,7,0,388,104,2,50,7,349,82,1,4877,5348,7594,6,2,0,-1,0
7,33,5,1,395,125,6,31,7,384,96,1,2116,3463,-499,1,0,1,0,0
6,61,9,0,340,69,4,66,7,370,95,0,-7743,-5640,-11490,-19,-2,0,-2,0
3,26,9,1,388,81,7,27,8,378,99,0,-3948,-3772,-8293,-9,-2,0,-1,0
1,42,4,1,315,73,3,22,5,320,100,0,262,-394,11648,6,1,0,-1,0
7,42,4,1,396,112,8,34,3,351,92,1,4129,3912,9783,4,0,1,1,0
8,35,6,1,365,92,6,29,8,356,87,0,531,421,-3739,-3,-2,0,1,0
1,22,10,0,360,98,5,27,8,365,86,0,-2235,-2392,-10214,-11,-2,0,-1,0
3,200,8,1,372,97,4,29,6,366,89,0,-1749,-1229,-8343,-4,2,0,0,0
2,18,6,0,373,103,2,22,3,345,92,0,-2370,-1026,-3414,-9,-2,0,0,0
4,29,7,0,383,90,3,100,7,337,96,0,-830,766,-15072,-9,-1,0,0,0
2,22,5,1,395,100,1,21,7,329,76,1,9447,5610,23389,17,0,0,-1,0
1,21,5,1,385,81,1,29,9,343,94,1,4737,2565,1290,7,2,0,2,0
3,29,5,1,391,83,7,41,7,328,96,1,9227,5747,11697,18,2,1,2,0
9,32,5,1,359,80,3,154,9,301,75,1,2410,1572,-2460,3,-2,0,-1,0
1,28,6,1,332,108,1,200,6,293,79,1,6768,6977,13180,14,1,1,-1,0
3,27,3,1,413,98,2,44,10,302,80,1,6960,4816,11757,5,-1,0,3,0
7,30,7,1,344,74,5,43,7,340,82,1,3792,1553,7712,8,2,0,1,0
2,27,12,0,331,81,5,30,5,341,97,0,-1595,68,2661,5,-2,0,-3,0
4,31,10,0,344,79,3,38,4,390,96,0,-7459,-3021,-5349,-11,-2,0,-3,0
5,46,4,0,411,80,4,27,3,345,87,1,4715,2378,5480,7,0,0,1,0
7,31,6,1,355,83,4,67,8,363,85,0,1916,-466,912,2,-2,0,1,0
4,37,10,0,348,90,2,22,4,300,90,0,-1192,-547,776,-5,0,0,-1,0
4,26,13,0,329,64,2,34,4,361,85,0,-8182,-4543,-13596,-13,-1,0,-3,0
4,26,9,0,306,84,1,30,8,349,80,0,-3435,-3369,-6772,-5,-2,0,0,0
6,36,2,0,392,102,5,26,7,349,98,0,2735,1018,8953,0,-2,1,1,0
2,24,7,1,367,120,3,29,5,355,92,1,2542,442,-3258,-2,0,0,1,0
2,24,6,0,332,84,2,31,3,353,93,0,-2580,-2499,-9795,-6,0,0,1,0
4,22,2,1,342,100,1,26,5,304,76,0,1418,129,2713,1,-1,1,0,0
3,27,6,0,355,89,6,35,1,391,98,0,-7170,-3323,-9698,-12,-2,0,-2,0
2,139,9,1,349,95,6,31,3,334,90,1,1494,1845,3176,5,-1,0,0,0
5,29,14,0,282,87,4,200,3,349,94,0,-1284,852,-960,5,2,1,-3,0
5,25,7,1,361,81,4,30,5,333,94,0,-5559,-4224,-2880,-14,2,0,-1,0
2,25,5,0,366,99,1,91,6,321,62,1,1863,1443,-2955,2,2,0,1,0
0,78,5,0,320,90,5,28,3,359,74,1,-65,-172,979,-2,1,0,0,0
7,31,5,1,354,82,3,26,8,345,114,1,4597,3188,11236,7,1,0,1,0
7,28,1,1,425,98,3,21,13,328,102,1,8888,6500,18997,8,2,0,1,0
0,28,8,1,393,73,5,28,13,302,74,1,-166,694,-8819,-4,-2,0,-1,0
5,27,6,1,389,78,1,49,3,384,106,1,-139,883,-1210,2,0,1,0,0
6,25,4,1,348,90,0,59,8,332,66,1,5582,2284,12044,11,0,0,1,0
1,28,0,1,346,87,6,26,9,298,93,1,4201,1220,-1916,5,2,0,1,0
5,31,5,1,359,92,6,31,7,334,46,1,1003,958,-5271,-1,1,0,-1,0
4,32,6,1,317,98,3,24,11,346,82,1,4061,3903,8934,8,2,0,1,0
5,29,5,1,402,100,5,32,8,311,84,1,3261,3296,14556,4,2,-1,0,0
6,145,7,0,377,94,7,28,9,379,101,0,342,-319,-2283,-1,-2,0,0,0
4,28,6,1,345,76,5,25,8,372,83,1,6526,1019,4742,13,0,0,0,0
1,24,2,1,405,96,2,25,9,299,96,1,6234,3755,7078,7,2,0,2,0
1,22,5,0,419,115,3,22,6,357,94,1,7722,5614,4519,7,0,1,0,0
4,32,3,0,405,119,2,27,8,351,80,1,6951,5399,444,11,2,0,1,0
6,36,3,1,418,94,2,39,9,347,81,1,8121,5403,13107,12,2,0,2,0
4,26,5,1,343,101,2,28,7,310,79,0,2084,656,9701,5,0,0,-1,0
2,22,6,0,342,88,1,25,8,355,92,1,3586,2526,7595,8,-1,1,0,0
3,26,8,0,385,81,8,32,5,351,89,0,367,-10,1643,-1,-2,0,0,0
2,18,4,1,375,104,3,46,4,384,88,1,4444,1829,7964,9,2,1,0,0
7,50,4,1,323,100,5,26,8,340,72,1,7106,6421,4655,9,1,0,0,0
4,31,5,0,330,86,5,22,3,343,73,0,-1763,-11,2379,-2,2,0,0,0
5,200,7,0,355,84,1,20,7,363,85,0,-708,-1362,10056,-5,-2,0,0,0
5,43,4,0,336,70,2,28,8,325,74,1,2282,2045,9694,4,1,0,1,0
3,23,7,1,360,78,8,26,5,343,75,0,5150,2657,7863,9,1,0,-2,0
4,28,5,1,360,94,2,25,2,387,84,1,-1353,-1364,-11679,-4,0,0,0,0
5,25,4,1,387,111,2,34,8,346,76,1,4018,3511,9789,5,-1,0,1,0
2,149,10,1,301,96,7,40,12,343,82,0,-1751,-439,-5612,-4,0,0,-1,0
3,30,2,1,387,79,5,26,7,314,74,1,1058,-622,8829,-3,-1,0,0,0
6,37,8,1,356,73,2,20,10,383,91,1,2552,1967,4034,11,0,0,-2,0
2,23,6,1,391,110,0,20,7,370,90,1,3091,3125,4747,2,2,0,1,0
2,20,6,0,338,81,1,30,6,341,113,1,341,1328,824,1,-2,1,0,0
2,24,6,0,349,95,2,21,1,380,87,0,-1801,-2563,-4532,-2,2,-1,-1,0
4,39,7,0,320,105,1,24,4,356,84,0,-2664,-2493,-2858,-7,1,0,-1,0
4,28,7,0,338,88,5,23,11,390,88,0,-408,280,-4316,4,1,0,0,0
0,25,11,0,320,75,4,29,6,356,96,0,-4757,-2236,-4617,-7,-2,0,-3,0
3,41,8,0,385,80,5,25,9,348,92,1,1806,466,5942,-1,-1,0,0,0
3,21,5,1,392,95,7,33,1,391,80,0,1852,1895,3302,3,1,0,-1,0
6,26,13,0,288,80,6,29,4,335,88,0,-6662,-6285,-9931,-6,-2,0,-3,0
2,22,7,1,320,93,7,76,7,331,102,0,-671,-472,727,-1,-2,-1,0,0
2,64,5,1,324,71,2,62,7,382,113,0,3774,578,4157,12,-2,0,0,0
4,32,10,1,363,104,0,24,7,382,74,1,-1429,-895,-865,0,1,0,-2,0
2,56,6,0,381,68,3,70,5,386,67,0,-246,-338,1090,-1,1,0,-1,0
3,32,11,0,331,78,3,31,6,369,90,0,-2691,-493,-3950,0,0,0,-4,0
4,33,7,0,398,87,7,29,5,405,108,0,-2440,-2343,-7898,-4,-2,0,0,0
7,37,4,1,336,83,2,33,12,322,83,1,3436,2050,-4468,1,1,0,1,0
4,42,12,1,366,77,4,27,4,379,83,0,-2264,-1172,505,0,1,0,-1,0
4,26,8,1,369,94,2,22,1,427,78,0,-4683,-3633,-8548,-7,-1,0,0,0
1,48,0,1,395,92,4,33,13,337,81,1,7185,5175,9386,10,1,0,2,0
4,22,12,1,333,90,3,28,9,331,97,0,-1445,-1702,-4283,-3,0,0,-1,0
3,29,7,1,364,114,1,29,5,368,84,1,989,260,2332,4,-1,0,0,0
3,34,10,0,351,94,4,27,6,382,93,1,-1720,52,-6274,-6,-2,1,0,0
6,131,13,0,348,90,3,36,9,324,109,1,-435,1312,6673,1,2,0,-2,0
2,35,10,0,295,93,2,28,3,393,93,0,-6996,-5232,-8534,-6,-2,0,-4,0
2,26,3,1,356,89,1,40,11,312,48,1,14190,6239,22662,23,0,0,3,0
5,26,7,0,298,75,3,71,5,382,85,0,-5854,-3956,-2528,-7,-2,0,-2,0
2,30,8,1,355,72,1,53,11,331,70,0,-1153,-1027,-10154,-12,-1,0,-1,0
4,32,9,1,373,98,2,23,4,366,106,0,2929,1814,9167,11,2,1,-1,0
6,25,9,1,360,73,4,30,3,336,77,0,-1432,-977,-6561,-3,-1,0,-1,0
4,25,9,1,353,97,3,23,5,364,94,1,-5305,-1026,-10214,-7,0,0,-2,0
6,29,5,1,351,95,5,30,7,281,84,1,4599,2608,3385,4,-2,0,2,0
3,58,1,0,397,84,2,80,8,330,108,1,1557,2306,-1209,-2,-1,1,1,0
4,28,8,1,397,82,1,22,4,281,124,1,4389,2515,11788,6,-2,0,1,0
0,21,9,0,382,103,0,25,10,364,108,1,8543,4893,8105,14,-1,1,-3,0
4,31,4,0,305,93,1,20,4,364,70,1,-549,-1275,-818,-2,1,0,-1,0
3,34,10,0,320,83,5,22,6,392,106,0,-3919,-4767,-9706,-5,-2,-1,-2,0
3,30,9,0,360,86,3,39,8,356,77,1,951,863,-1294,-5,-2,0,1,0
3,26,4,1,357,85,4,25,8,361,77,0,-1297,393,-4866,-2,-2,0,0,0
4,200,3,1,330,102,2,24,4,336,77,0,4759,1108,8434,7,0,0,1,0
3,130,4,1,354,102,2,27,12,373,146,0,1691,-3775,5484,3,0,1,1,0
5,43,6,0,376,112,3,29,8,319,84,1,3473,4518,6825,3,0,0,1,0
5,24,7,0,327,87,6,31,7,316,88,1,99,-682,2793,-4,0,0,-2,0
4,132,13,0,331,85,3,19,4,369,86,0,-4607,-1738,-9095,-7,0,0,-1,0
7,28,6,0,372,91,4,27,6,314,98,0,2833,2794,2853,2,-2,1,1,0
1,27,6,1,349,103,4,31,8,309,84,1,3613,348,5816,0,1,0,2,0
2,46,4,0,338,93,1,23,8,353,76,1,-1340,857,-7293,-7,0,0,0,0
2,39,4,0,390,83,5,24,4,379,76,1,4444,1180,7354,4,-1,0,0,0
2,23,6,1,365,98,1,24,10,336,97,1,873,448,1942,-1,0,0,0,0
3,27,10,0,291,65,7,29,3,367,90,0,-6954,-5940,-12484,-11,-2,0,-2,0
2,25,6,1,343,84,5,50,2,303,80,0,1587,1693,337,0,-2,0,1,0
4,34,6,0,347,96,4,49,2,382,82,0,-2525,-2342,1536,-6,-2,0,-1,0
2,27,11,1,343,73,2,25,6,338,98,0,-2544,-3011,-3232,-6,0,0,-1,0
3,26,6,0,329,94,6,100,6,362,80,1,1681,1500,1392,5,-2,-1,-1,0
4,25,7,1,295,79,5,46,5,329,73,1,-3106,205,-2487,-6,0,0,-1,0
2,26,6,1,357,100,4,20,5,359,84,0,4298,2150,2331,5,1,0,1,0
4,21,4,1,370,72,3,22,4,401,99,1,-1128,-984,1336,0,-2,0,0,0
4,27,8,1,320,72,8,25,4,343,116,0,-6246,-5263,-11948,-11,-2,0,-1,0
3,60,2,0,382,80,3,29,10,331,86,0,5054,1722,1357,3,-2,0,2,0
3,24,9,0,361,107,3,26,5,354,100,1,-1689,802,-6565,-2,0,0,0,0
6,26,6,0,325,84,4,30,2,374,104,0,-5153,-2744,-14118,-7,-2,0,-2,0
4,36,10,0,372,107,4,26,2,380,88,1,-1296,1509,2907,-1,2,0,-1,0
5,27,10,1,298,88,4,27,6,340,92,1,1514,1696,1352,10,2,0,-1,0
4,62,5,0,356,88,4,61,9,317,80,1,6699,3752,19259,15,0,0,0,0
5,32,0,1,380,106,2,134,11,337,98,1,9163,4521,8374,12,-2,0,1,0
4,30,5,0,364,108,0,66,12,337,84,1,6535,4186,3127,10,0,0,-1,0
3,26,9,1,384,102,5,27,3,365,90,0,-122,606,-4409,-2,-2,-1,0,0
4,60,11,1,332,78,5,78,11,338,74,1,-3446,-1423,-9514,-6,-1,0,-2,0
5,46,4,1,358,92,5,39,8,291,76,1,11912,7316,17384,19,-1,0,-3,0
5,30,6,1,340,98,3,39,10,355,110,1,1944,2184,14496,10,2,1,-1,0
4,49,4,1,392,86,2,31,3,392,95,1,459,-855,-385,0,-2,-1,-1,0
6,27,6,0,372,98,2,26,6,402,86,1,851,529,-1057,3,-1,0,-1,0
4,34,4,1,387,90,11,104,3,397,105,0,-572,-2249,290,-3,-2,0,-2,0
3,39,7,0,348,93,5,200,1,405,83,0,-3015,-2506,-14412,-7,-2,0,-1,0
2,38,5,1,415,87,3,29,8,361,99,1,2703,173,4756,-1,-2,0,-1,0
2,25,8,1,336,101,4,39,4,323,97,1,1107,1028,4775,1,-1,0,-1,0
3,25,7,1,353,82,3,26,9,358,97,0,-403,436,-7379,-1,0,0,-1,0
3,40,8,1,265,78,2,22,10,330,82,1,4220,1271,4388,11,2,-1,0,0
3,23,9,1,375,93,2,22,3,390,94,0,-2340,-1454,-4500,-5,-2,0,-1,0
5,82,10,0,382,71,3,19,4,328,96,0,-1850,-157,-2001,-3,-2,0,-1,0
2,23,5,1,350,92,8,141,4,410,84,1,872,-394,2856,5,1,-1,0,0
2,82,4,1,332,94,2,56,5,354,88,1,3846,1321,10848,7,1,0,1,0
3,21,8,0,361,100,2,29,9,336,58,1,7763,5207,7594,15,0,1,0,0
6,25,8,0,379,72,2,25,5,393,96,0,-2457,-3437,-4100,-2,1,0,-1,0
2,59,8,0,396,92,4,34,1,420,101,0,-7065,-2807,-18063,-10,-1,0,-1,0
1,32,8,0,316,88,5,51,8,337,60,0,-6059,-4669,-3494,-18,-1,-1,-1,0
6,88,6,1,318,74,4,30,7,362,80,0,1576,27,7819,6,-1,0,0,0
2,36,8,1,327,97,2,79,5,394,93,1,3160,741,3844,7,-1,0,-2,0
11,53,7,1,398,92,3,24,6,368,84,0,424,717,5193,-1,0,0,-1,0
3,32,4,1,400,108,4,30,3,368,86,1,6279,4681,10952,9,0,1,1,0
3,24,13,0,364,81,8,33,4,408,85,0,-1283,1204,592,1,0,-1,-1,0
7,27,6,1,395,82,4,31,2,412,101,1,-1464,-2544,-2612,1,2,0,-1,0
5,33,6,0,370,106,3,27,2,393,98,0,-3846,-2346,-1127,-6,1,0,-3,0
4,23,8,0,386,114,9,37,4,359,106,0,-1358,3151,-889,-1,2,0,-1,0
4,24,9,0,389,96,4,28,4,362,85,0,-1106,-949,10751,-4,-2,-1,-1,0
2,38,7,1,399,79,1,25,5,371,120,1,778,617,4641,4,0,0,0,0
2,157,6,0,401,92,5,25,6,337,78,1,5089,2658,7247,5,0,0,1,0
2,19,8,0,360,70,0,27,5,374,91,1,-71,-872,-7386,-1,-1,0,-2,0
3,35,10,1,399,106,4,41,7,352,86,1,4719,3545,8757,11,2,0,1,0
5,25,3,0,342,94,1,27,9,335,82,1,1172,-1319,127,0,0,-1,0,0
2,25,10,0,333,86,6,35,9,353,96,0,-553,-4943,-4296,-1,0,0,0,0
5,30,6,1,332,100,6,30,1,398,88,0,-7281,-3971,-6746,-13,-1,-1,-1,0
1,128,11,0,341,88,0,74,5,406,88,0,-9037,-5422,-17570,-13,-2,0,-3,0
8,36,10,0,364,100,0,29,9,334,72,0,2114,1571,11047,6,0,0,-1,0
3,28,8,0,333,111,5,33,1,378,92,0,-4709,-1926,-9144,-8,-1,-1,-1,0
5,29,3,1,437,98,5,29,13,355,84,1,4895,4850,9528,3,2,0,-1,0
7,65,4,0,378,75,11,71,3,415,100,1,-3643,-2677,-7099,-3,0,0,-1,0
6,27,2,1,347,80,5,32,10,297,104,1,3731,1253,2525,6,2,0,2,0
2,23,5,0,375,85,9,36,4,410,93,1,-918,1734,2311,-1,-2,0,-1,0
5,47,6,1,349,93,3,30,5,328,94,1,4904,1215,11526,11,1,0,-1,0
4,30,6,0,361,77,6,33,2,341,96,1,-1987,-4411,1898,-9,-1,0,1,0
2,200,0,1,436,91,3,26,14,352,84,1,8164,5144,10543,5,2,0,2,0
1,31,9,0,299,70,2,30,3,359,87,0,-2627,-1944,-12127,0,1,0,0,0
8,29,9,0,303,73,5,24,2,412,82,0,-8671,-6497,-6224,-12,-1,-1,-2,0
7,55,3,0,356,94,3,31,8,335,82,0,1731,867,1022,1,0,0,0,0
3,33,4,1,389,108,0,128,4,347,87,1,5149,3956,5560,11,1,0,0,0
6,36,10,1,325,88,4,23,6,341,68,0,645,-200,-3977,1,-1,-1,0,0
2,27,11,0,340,57,6,25,2,448,122,0,-8957,-6444,-14003,-9,-1,0,-3,0
3,118,4,1,381,84,6,30,5,397,103,0,-6467,-5010,-10053,-11,-2,0,-2,0
4,25,12,0,340,90,4,30,4,378,89,0,-6731,-2508,-10118,-10,-1,1,-2,0
4,37,5,1,380,107,1,25,11,388,92,0,3500,0,-2375,1,1,0,2,0
8,47,5,1,335,98,2,95,4,345,86,0,-19,-13,-1380,0,1,0,0,0
0,29,10,1,308,111,1,17,6,345,100,0,-5381,-3600,137,-16,1,-1,-2,0
3,24,5,1,342,98,8,32,13,348,70,1,1911,-944,4390,-5,2,0,2,0
2,21,10,0,342,96,2,24,7,392,92,0,-4846,-1777,-9640,-5,-2,0,-2,0
4,32,5,1,327,78,1,36,2,368,86,0,-485,-314,-106,3,-1,0,-1,0
6,31,9,1,335,90,2,38,3,344,84,1,-872,-1023,6758,2,2,0,0,0
3,26,14,0,358,82,4,42,4,375,92,1,-3445,-3009,-8769,-5,0,0,-3,0
5,26,6,0,345,53,4,27,6,342,123,0,-3014,-2144,-9088,-7,1,0,-2,0
7,36,4,0,347,84,6,40,5,369,68,0,-2321,-2242,-90,-6,-2,0,-1,0
3,21,11,0,323,84,3,25,5,366,111,0,-9883,-7867,-15863,-19,-1,0,-2,0
2,27,4,1,387,84,2,32,4,379,112,1,-2068,-2778,-5511,-4,0,0,-1,0
4,28,8,0,335,87,4,29,8,392,80,0,-3632,-3403,500,0,1,0,-2,0
6,30,9,0,379,67,2,21,5,390,97,0,-3143,-2229,-8889,-8,-2,0,-2,0
2,27,7,0,324,72,3,29,1,391,100,0,-7480,-4927,-14370,-8,-1,0,-2,0
5,22,11,0,359,74,5,29,5,391,82,0,-2203,-393,535,-1,-1,1,0,0
5,33,10,0,328,94,7,23,4,396,80,1,-4197,-2211,-3906,-8,-2,1,-2,0
5,28,8,1,387,103,6,97,4,375,84,1,3876,2559,11682,6,2,0,-1,0
5,35,6,1,403,84,2,200,6,361,92,0,2645,220,5326,2,1,0,2,0
5,27,4,1,398,99,2,24,12,294,68,1,8946,7547,9693,9,0,0,1,0
5,56,7,1,335,76,4,48,2,383,85,0,-5210,-4044,-3113,-7,-1,0,0,0
4,31,13,1,347,72,4,26,4,382,110,0,-7066,-2720,-5753,-6,-1,0,-3,0
10,36,5,1,363,100,4,35,4,360,88,1,880,1864,550,1,-1,0,0,0
7,33,2,1,430,94,4,154,9,360,83,1,4685,1735,2739,4,2,1,2,0
3,30,9,0,316,84,4,31,2,378,79,0,-7730,-3168,-11007,-14,-1,-1,-2,0
2,22,11,0,323,68,3,27,6,413,98,0,-4279,-3273,-3982,-5,0,0,-2,0
9,42,6,0,370,82,4,37,2,401,122,0,-4102,-4447,-5365,-3,0,-1,-1,0
0,21,8,0,366,80,5,36,5,330,91,0,-5281,-3842,-11367,-14,-2,-1,0,0
5,32,3,1,376,76,0,41,10,364,59,1,5574,3365,-712,7,1,0,1,0
4,62,8,0,372,102,2,64,9,372,98,0,-5007,-1507,-3459,-10,0,-1,-2,0
4,62,7,1,349,90,1,54,4,382,98,1,3597,2103,11311,8,-1,0,-1,0
8,118,7,1,342,113,1,57,7,327,74,1,4144,3806,5382,6,0,0,3,0
5,35,5,1,354,89,5,43,7,376,106,0,-14,-670,-4161,3,-2,1,-1,0
6,35,0,1,322,102,6,27,7,363,64,0,897,-1446,-1160,0,-2,0,0,0
4,38,7,1,371,87,4,23,5,328,91,1,6532,3343,12577,11,1,0,1,0
3,29,7,1,397,86,2,32,5,382,78,1,-1835,-1530,6910,-6,-1,1,-2,0
6,28,6,1,339,86,9,33,7,360,89,0,315,1733,-1200,3,2,0,0,0
1,26,11,1,356,100,3,34,5,369,104,0,-4310,-793,-12788,-7,-2,0,-1,0
4,30,6,1,383,94,3,23,6,397,90,1,2065,3153,1577,5,2,0,1,0
5,23,4,1,388,87,5,31,14,334,84,1,8165,3924,15626,11,0,0,2,0
5,27,4,1,345,93,6,39,4,341,64,0,-1761,-1734,2493,-4,2,0,-1,0
3,37,11,0,300,44,4,47,6,296,91,1,1506,225,-3534,6,-1,0,0,0
7,41,6,0,394,102,4,46,2,415,93,0,-3662,-2310,-3775,-7,0,-1,-1,0
5,31,6,1,380,80,2,23,5,369,103,1,223,-611,653,1,-2,0,0,0
3,22,10,0,341,87,5,25,3,396,86,0,-6966,-5833,-23238,-15,-2,0,-1,0
4,27,9,1,328,108,3,51,5,387,77,0,-283,-382,-5377,2,0,0,0,0
6,27,7,0,309,89,4,200,7,313,83,0,3715,660,5819,6,2,0,1,0
8,200,6,1,363,88,1,49,11,312,86,1,5588,5590,8784,12,2,0,2,0
3,80,8,0,293,86,6,200,6,342,88,1,-1154,48,780,0,1,-1,-1,0
3,200,7,0,393,98,2,22,5,394,114,1,-1716,124,-4491,-1,2,0,-1,0
3,200,4,1,345,96,1,23,12,352,83,1,4474,718,-3378,9,1,0,1,0
4,200,12,0,362,72,8,43,5,343,78,1,-2168,-924,807,-3,2,0,-3,0
3,187,10,1,336,99,1,21,3,388,92,1,-2397,1260,-11668,1,-1,0,-3,0
5,192,4,1,368,109,4,19,8,352,88,1,4419,3100,1080,7,0,0,0,0
9,200,6,0,353,74,4,31,7,349,92,1,-1752,-897,-3929,1,2,0,-1,0
4,166,6,1,299,91,7,32,2,409,104,0,-6390,-4581,-10977,-6,-1,0,-3,0
2,27,4,1,431,106,4,27,8,313,62,1,12865,8688,12812,13,1,0,1,0
5,200,8,1,360,108,0,28,9,407,87,0,-3272,-2552,-8594,-6,-2,0,-1,0
4,200,6,1,355,108,2,27,5,331,83,1,4769,3115,11942,11,2,0,0,0
4,200,11,0,321,78,5,35,3,375,77,0,-2194,630,-3950,-1,-2,1,-2,0
3,38,8,0,301,77,3,200,4,354,90,0,-3033,-3156,-7056,-3,-2,-1,-1,0
10,200,5,1,376,104,4,40,13,315,72,1,5439,3990,1470,7,1,1,1,0
2,200,4,0,386,108,3,26,5,354,88,0,280,-40,-5554,-4,-2,1,1,0
8,28,3,1,372,90,4,200,5,386,97,1,3564,1672,3190,5,-2,0,2,0
3,200,9,1,323,96,0,33,12,297,84,0,3566,2174,-2026,5,0,1,-2,0
4,28,3,0,352,83,2,25,5,320,68,1,4204,2772,4811,6,1,0,1,0
2,26,0,0,342,92,3,28,12,343,96,1,998,-1283,7774,-2,0,0,-2,0
2,55,4,1,392,77,2,24,13,291,100,1,4130,1362,9615,3,1,0,4,0
2,30,6,1,334,94,2,21,8,365,88,1,2371,1662,10498,4,0,0,-2,0
3,30,3,1,379,102,2,27,10,301,76,1,7903,7064,11118,13,2,1,2,0
5,23,5,0,335,112,5,30,3,355,106,0,-705,1020,955,-2,0,0,1,0
5,26,9,1,394,105,1,57,12,294,63,1,7221,6999,15385,12,0,0,0,0
5,31,5,1,338,80,3,33,9,307,80,0,1341,-569,3068,3,-2,0,1,0
5,30,4,1,383,81,5,41,9,319,92,1,8709,5536,10074,14,1,0,1,0
8,31,4,1,349,88,3,29,5,310,86,1,3155,2903,2309,5,0,0,-1,0
3,26,10,0,356,86,2,26,6,369,82,0,-3661,-2281,-5764,-8,0,1,-2,0
5,30,4,0,412,96,2,57,9,320,64,1,5060,5009,12311,5,2,0,0,0
8,38,7,0,359,82,5,32,5,380,110,0,675,-1265,1932,2,0,0,-1,0
5,32,3,1,387,100,1,29,9,354,100,1,6866,2759,4387,12,2,1,2,0
2,32,12,1,376,108,1,21,5,412,123,0,-5996,-3798,-14003,-4,0,-1,-3,0
1,26,6,1,360,93,6,36,13,337,112,1,7001,2732,7529,10,2,1,3,0
3,23,9,0,310,76,4,36,3,398,88,0,-5162,-1784,-9413,-3,-2,0,-2,0
2,26,1,0,375,101,3,26,8,366,101,0,-2725,-1953,-6298,-6,-1,0,-1,0
4,35,2,1,379,71,3,22,10,354,96,1,3787,498,9696,1,-1,0,2,0
3,27,5,1,340,70,5,29,8,320,78,1,6892,2549,8571,9,1,0,4,0
1,25,13,0,394,98,4,24,5,363,85,0,-3302,-1622,1443,-9,-2,0,-1,0
3,28,5,0,376,106,1,21,6,361,90,1,2182,-5,6318,3,2,1,1,0
3,35,10,0,313,76,3,24,4,364,78,0,-1824,-1181,-10029,-3,0,0,-2,0
2,27,8,0,378,79,2,25,6,319,104,1,2669,1400,4243,3,0,0,0,0
2,28,0,0,361,104,2,27,9,385,80,1,2793,1308,8,2,-1,-1,1,0
3,24,7,1,391,88,4,32,7,383,96,0,830,-619,-8982,1,0,1,-1,0
4,27,7,0,338,78,9,37,4,348,86,0,-3877,-2738,-5910,-6,-2,0,-1,0
3,74,1,1,352,87,1,99,11,337,88,1,2363,1825,6470,3,0,0,2,0
0,182,13,0,310,71,6,21,3,381,96,0,-13520,-6167,-9939,-14,-1,-1,-5,0
6,66,6,1,343,103,4,101,6,312,68,1,3848,2427,10612,5,0,1,1,0
3,29,4,0,372,104,1,27,8,324,84,1,3453,4365,4072,3,0,1,1,0
5,49,5,0,362,94,1,31,11,285,78,1,5335,7127,4093,13,2,0,2,0
1,26,6,1,372,76,3,35,3,339,111,1,-317,-287,-11348,-5,-2,1,0,0
0,23,9,1,370,72,1,27,13,334,84,0,7875,3415,14755,10,0,0,2,0
0,28,1,1,321,96,3,173,10,323,84,1,4938,35,2560,4,-2,1,2,0
3,32,4,1,330,86,3,33,8,328,76,1,332,1403,453,3,0,-1,0,0
3,26,7,0,323,76,6,27,1,431,101,0,-8846,-6587,-6375,-13,-2,0,-2,0
2,84,5,1,323,100,6,73,7,345,68,0,6690,1429,7962,17,1,0,0,0
3,27,7,1,341,71,5,39,4,334,83,0,-820,-922,4294,-4,-1,0,0,0
1,22,8,0,350,72,4,24,4,396,86,1,-3801,-1448,-8951,0,-2,0,-2,0
3,32,7,0,334,72,4,28,5,299,98,0,-1225,-220,4427,-2,0,-1,0,0
6,29,3,0,381,91,5,40,4,370,80,1,2147,3952,5886,4,1,0,0,0
4,22,6,1,358,84,2,21,6,402,112,1,1433,-64,5689,4,2,0,-1,0
