blueTeamTotalGold,redTeamTotalGold,blueWin
30324,30079,1
28342,32446,0
31125,28963,1
28918,26225,0
25237,28823,0
28553,28812,1
29975,26835,1
26886,30869,0
20744,35390,0
32128,30451,1
33666,25895,1
30499,31093,0
24988,25309,0
25085,31440,0
21989,31253,0
26373,29599,0
26997,27238,1
25335,30423,1
29864,29245,0
29726,26414,1
32510,31017,0
25704,27662,0
35763,25983,1
27498,27375,0
24951,28803,0
20907,34669,0
29636,29889,1
30191,26094,0
27123,26146,0
24679,28206,0
29859,26074,1
23827,26503,0
26149,32670,0
29406,27428,1
28065,30881,0
24806,28595,0
26247,25796,0
31473,29385,0
26457,28474,0
26417,23668,0
22542,33176,0
25898,29275,0
27562,30296,0
29603,26831,0
26233,26207,0
30035,25840,1
30867,25767,0
31577,25549,1
29318,35864,0
28539,32896,0
24557,30285,0
26472,31640,0
25533,28732,0
27292,25997,0
24837,27012,0
28959,28017,1
30204,27177,1
29867,27293,1
28747,30240,0
28585,28133,1
29193,30734,0
29708,26601,1
30537,28532,1
26235,30420,0
23811,30791,0
27935,24806,1
31315,30595,0
24746,28073,0
27372,26188,0
31715,34842,0
32654,27682,1
29155,33200,0
31823,30076,1
33821,29516,1
28263,29263,0
26717,24835,0
29319,26569,1
35203,26285,1
29174,23677,1
28926,29338,0
28245,30629,0
26673,30022,1
33215,27322,1
23416,29877,1
24486,30790,0
27521,29393,0
27920,30031,0
34725,22433,1
25713,26551,1
33002,25413,0
30286,29733,0
27770,25293,0
22966,31670,0
25642,28118,0
29730,24411,1
31569,27830,1
28852,22917,1
28750,27882,1
23571,25070,1
26500,25933,0
26599,32272,1
33688,22853,1
25649,24592,1
31099,28157,1
28539,28587,1
24636,30744,1
26660,28331,1
30924,24377,1
29927,29150,1
30739,25803,1
27470,32034,0
24366,31362,0
26900,30984,0
28638,24440,0
28802,25295,1
24545,27837,0
26773,23092,1
29122,24806,1
26186,24449,1
24241,31348,0
29188,25092,0
28567,25296,0
28501,25863,1
29953,28612,0
29669,26014,1
30064,27739,1
29716,27721,1
28571,23513,1
26205,29016,0
28112,24470,1
29715,26335,1
31046,24431,1
31258,28119,0
25649,27991,0
32156,26215,1
26436,22797,1
32184,24114,1
20365,30751,0
25722,25496,1
29208,24084,1
27537,25469,0
25527,29856,1
27987,24775,0
26198,26630,0
25999,27742,0
25182,30971,1
26080,33978,0
27352,27564,0
32159,27675,1
28732,30202,1
29722,27495,0
27212,30441,1
29646,26878,1
27230,25230,1
34512,26427,1
28485,34686,0
25511,30659,0
25205,31046,0
25208,27182,0
31468,27954,1
27326,28374,1
29302,26516,1
31079,27757,1
25451,26797,1
29828,28163,1
31920,33572,0
27336,31930,0
29319,25029,1
27744,28318,0
28408,22974,1
34036,24646,1
28279,26234,0
24844,28123,0
28375,22767,1
28297,25475,0
29467,28223,0
25671,30754,0
30396,26870,0
28822,25768,1
31139,25594,1
24741,26508,0
26868,29064,0
22085,29788,0
31766,26388,1
30412,23702,1
32265,30774,0
27820,28465,1
31466,30163,1
24511,23877,1
26032,25498,1
29265,24808,1
31324,26825,1
26842,31414,0
26841,29939,0
33687,22801,1
34042,25120,1
26547,28909,0
27532,31428,0
24118,25570,0
27523,30050,0
26977,29545,0
28329,28932,0
28100,26981,1
35225,21067,1
26307,22894,1
29335,26990,1
30480,22861,1
27060,24768,0
29157,24452,1
25865,28725,1
27378,25581,1
22711,30665,0
27415,31204,0
25978,28953,0
27713,31344,0
24087,30868,0
27353,29682,0
25724,28969,0
29718,28869,1
25350,27905,1
29700,26816,1
35292,26263,1
30343,28471,1
23428,26827,0
26292,25084,1
22847,33127,0
20965,35138,0
28489,27752,0
22389,30304,0
27654,26615,1
29055,26817,1
28203,27413,1
25596,30236,0
28173,25073,1
29308,25959,1
22049,33115,0
38294,25744,1
26348,28399,0
31345,26231,1
30296,23674,1
31764,27780,1
24182,29904,0
31429,24511,1
33280,31108,1
28033,29941,1
29579,29376,1
26619,29607,0
30331,27212,0
27452,26923,0
28155,28417,0
25325,27657,1
28677,25047,1
33216,29426,1
26365,34852,1
29576,30116,0
28072,27891,0
27087,36197,0
28705,26591,0
27761,37523,0
26590,23832,1
25552,30470,0
24357,27098,0
40121,28009,1
25012,35627,0
26261,28521,0
28789,25031,1
31040,36342,0
32207,23737,1
34094,25922,1
30367,31795,0
26050,30861,1
25348,32885,1
28138,26482,1
28389,26958,1
27676,27522,1
26972,28891,0
29521,26396,1
30386,24262,1
26983,30388,0
26298,26979,0
26874,26044,0
25479,24339,1
26297,28311,1
25707,28949,0
31891,24823,1
23938,25831,0
28728,26192,1
26168,28558,0
30437,27145,1
27592,24869,0
27615,29050,0
27829,26069,1
29970,29177,0
28617,24131,1
30861,23872,1
27777,25158,1
25508,29354,0
25471,28780,0
28282,27267,0
29253,24721,1
27653,27256,1
33178,25400,1
26599,25938,1
28740,31100,0
26198,27176,0
27139,33496,0
30720,22196,1
26605,25839,1
30511,25623,1
32216,26400,0
29076,29538,1
22724,35223,0
30807,28769,0
27256,26313,1
30321,24469,1
23035,26919,1
26517,29905,0
32622,23761,1
27835,27075,0
31594,28038,0
27393,31493,0
27391,30294,1
26878,26372,1
24795,31865,0
28805,26812,1
25118,28563,1
29992,31120,0
30775,27061,1
26855,29509,0
30635,27413,1
29257,27441,1
28408,30030,0
28933,26855,1
27827,35737,0
28605,27534,0
27986,25597,0
25507,29098,0
27027,30378,0
25666,30539,0
26747,25185,0
30097,25763,1
28707,30665,1
28907,29054,0
27436,26275,1
30126,24814,1
35358,22135,1
30780,24306,1
30045,28611,1
28875,28412,0
28825,23955,1
