blueTeamTotalGold,redTeamTotalGold,blueWin
26209,31293,0
24012,27247,0
30493,22773,1
30500,28944,0
29821,26995,1
31621,24880,1
28254,29697,0
27044,26752,0
25983,30387,0
26445,26542,0
26377,25586,0
33845,27193,1
27255,31438,0
28130,27691,0
27622,27694,1
28236,29230,1
32031,28208,1
25447,30204,0
31121,24635,1
29817,27346,0
26455,28010,0
31528,25300,0
25821,31968,0
28378,27914,0
26086,29108,0
29145,26820,1
26547,28148,1
20532,32313,0
24326,28071,0
26360,32592,0
29238,29486,0
33745,28372,1
32021,25062,0
31467,26945,1
29496,29421,0
29822,27567,1
31422,23171,1
30251,29704,1
34201,28303,1
34344,30334,1
30420,27234,1
25846,27320,1
25687,23262,1
25413,32663,0
25058,23979,1
25646,27039,0
26776,25632,1
22972,27176,0
32384,25420,1
22092,27077,0
27432,27017,1
30521,26935,0
26275,26808,0
26632,27005,0
24727,27353,0
26308,32204,0
21630,30259,0
28772,27542,0
24146,28447,0
28930,30328,1
28898,29946,0
25460,31391,0
28851,28967,1
25986,26877,0
25006,28906,1
25733,25908,0
23487,29306,0
30172,29206,1
27201,29222,0
38472,34821,1
27965,27465,0
24817,30614,1
24086,25864,1
25259,31856,0
25408,30830,1
29700,24714,1
24795,30111,0
30835,29339,0
28199,28939,0
27681,25871,1
26542,25765,1
31335,26192,1
28614,24810,1
26688,28479,0
24405,27243,0
24952,29683,0
31163,22916,1
25743,27720,0
24960,28091,1
30437,26040,1
25918,27194,1
25839,27425,0
26833,28287,0
28178,30096,1
29694,24350,1
29598,30556,0
33573,26586,1
29728,26248,1
29684,28700,1
29252,28757,0
25572,26597,1
26984,32827,1
26395,31140,0
33739,23861,1
25905,32578,0
34189,29232,1
27502,25036,1
29435,27590,1
31358,24227,1
28384,28677,0
26145,28953,0
31836,28149,0
32424,26801,1
36208,25232,1
26704,28625,0
31545,21967,1
26309,28827,0
26661,25361,1
28810,24093,0
27430,30230,0
28964,27860,1
24936,29786,0
29554,33592,1
32020,29011,1
25692,26674,0
28676,26150,0
26381,33276,0
27609,23318,1
28543,29267,1
28277,26485,0
35399,25260,1
26499,32005,0
27837,28997,1
24567,25562,0
30054,24693,0
27623,24858,0
23972,28352,1
25158,25888,1
39772,26632,1
29177,29101,0
28790,26403,1
26939,24677,0
27069,26956,0
28370,24347,1
27479,25869,1
35360,21793,1
33755,27960,1
30109,28024,1
30498,27911,0
30045,24808,1
26873,26164,1
25210,27965,0
26585,30648,0
26069,28512,0
27377,25873,0
26172,31130,1
31235,31315,1
34694,28910,1
26629,29708,1
26432,22820,1
29635,31795,0
26664,27836,0
29225,23921,1
28652,30689,0
35772,23563,1
22021,30294,0
25885,29930,0
24298,30722,0
26665,24549,0
25224,28555,0
27735,25254,1
29659,27765,1
27894,28127,0
28230,29060,1
22756,29168,0
24133,27698,0
30437,28460,0
27899,26188,1
32110,22573,1
27028,29502,0
26324,28964,0
29645,32526,1
25905,28379,0
30195,33283,0
24929,27917,0
30183,23752,1
29790,22995,1
32125,31998,0
26975,25284,1
26928,29198,0
25509,25861,1
25432,28991,0
30061,27958,1
28861,24307,1
30174,24820,1
32129,26260,1
28529,26572,1
28998,26326,1
29285,30340,1
25388,26843,0
27644,33748,0
27553,31990,0
26735,28054,0
28734,29788,0
24039,35652,0
32614,29043,1
26571,27929,0
29997,30536,1
27197,29641,0
28411,31598,0
31974,30415,1
26757,28236,0
27079,25640,1
27889,29962,0
27049,30138,1
29668,32280,1
27995,30458,1
25628,27256,1
25052,37692,0
27895,27160,1
33612,35048,0
28861,33762,0
29694,31017,1
26971,25666,1
24835,26300,1
30191,24997,1
29023,27217,1
29751,26946,0
29927,32294,1
29202,22775,1
31697,27095,0
28635,26462,1
31258,25405,1
25089,24472,0
24564,33587,0
30968,26312,1
32320,32076,1
22947,39032,0
27876,27097,0
29912,25401,1
25316,27196,0
28667,31298,0
26380,31060,0
30636,25345,0
27967,28489,0
28302,28240,0
28899,27770,0
25605,28063,0
27143,32908,0
30515,28873,0
34007,26677,1
26168,28555,1
27224,27154,0
24790,29031,1
25388,28538,1
34032,27774,1
24995,27105,0
28534,34444,1
27282,29863,0
28058,27970,1
23258,31190,0
25872,27132,0
27620,26478,1
29294,28406,0
28240,28559,0
25424,28742,0
26874,25503,0
24042,29594,0
25859,26299,1
25275,25418,0
31495,24880,1
23863,31541,0
31909,25979,1
22526,30966,0
31413,26711,1
25913,26307,1
23806,24973,1
29511,27594,1
28426,28978,0
26506,32604,0
23419,32450,0
26066,35998,0
27869,26443,0
24125,26534,0
26720,26557,0
29204,29165,0
29574,26663,1
27058,26491,0
25865,32451,0
27021,27880,0
26386,31716,1
29766,23715,1
29946,28462,0
23817,31517,0
30274,28507,1
25118,30028,0
25532,28067,1
28797,31686,0
27685,25601,1
30897,27709,1
29683,24808,1
25439,28884,0
26189,32802,0
28353,28777,0
26437,23205,1
26455,28651,0
27869,24566,0
26099,30590,0
28313,28784,1
31360,25467,0
23294,29134,0
28302,22378,1
28432,25147,1
30662,26773,1
25150,27043,0
32333,28414,1
32052,30034,1
26561,33077,0
28257,27117,1
30874,28309,1
27551,23500,1
27610,26234,1
29158,25188,1
25906,27347,1
31994,29832,1
25078,29075,0
30395,31440,1
29550,24421,1
26510,28514,0
25079,27734,0
33370,28794,1
27993,26451,1
24866,31835,0
32584,27661,1
29974,27598,0
35258,24244,1
27392,31656,0
24227,25717,0
27064,25322,1
29603,27177,1
25884,36645,0
31431,26160,1
26745,34007,0
27580,29227,0
23088,32602,0
25504,31862,0
26445,25759,1
28570,27988,0
26997,34164,0
32095,22419,1
24893,28138,0
26949,31977,0
22156,37353,0
25835,27916,0
28363,33525,0
29086,28599,1
26470,26612,1
23489,31259,0
27699,29593,0
34813,28700,1
27042,24173,1
28721,31184,0
28129,26927,0
36136,28005,1
34021,24971,1
29575,25826,1
27664,27713,0
29200,28626,1
27195,28281,0
23048,31356,0
27004,29327,0
31076,34314,1
33314,29661,1
28306,28818,0
27205,24697,1
24127,27846,0
25213,28491,0
26492,22778,1
28606,28147,0
29637,24835,1
26471,25148,0
31321,26056,1
30033,27478,0
25265,24848,0
25381,32067,0
28710,29705,0
28923,28368,0
25624,31427,0
32938,28083,1
27411,28296,1
27193,24752,1
21798,27909,0
27520,25797,1
27525,25167,1
26736,22790,1
26316,24762,0
28066,23860,1
25378,30594,0
28551,26271,0
27864,25602,0
27666,30747,0
25739,24576,0
26917,27188,1
27317,30266,1
28733,30365,0
25701,27719,0
35418,25094,1
26069,32403,0
26215,26852,0
25496,29605,0
26685,33269,0
24502,27543,0
29792,22473,1
28719,25932,0
32765,23141,1
25220,32237,0
28295,23215,1
29924,34051,1
32590,26987,0
25338,30517,0
32617,26427,1
23770,25606,0
30057,27430,1
26456,29814,0
26210,28857,0
27459,29444,1
27445,24107,0
26827,26210,1
26589,25699,0
27010,29413,1
25579,27551,0
30478,27007,1
25069,26931,1
24371,28529,0
28063,29290,1
27869,30394,0
24901,27378,0
26502,28585,0
28468,28305,1
26167,25732,1
24973,26856,0
26826,27210,1
26062,31638,0
34485,22001,1
25219,29822,0
32757,26823,1
24820,27640,1
28311,29333,0
27322,33284,0
32638,23673,1
28605,28424,1
27345,30586,0
25549,30723,0
29634,24514,1
30766,26854,1
26562,27371,0
26531,31411,0
26665,32426,0
28555,28038,1
31184,31206,0
33075,27438,1
30549,25174,1
26278,28168,0
30769,28122,1
34060,24865,1
31003,25858,0
26901,35867,1
26373,34775,0
28164,29438,0
24251,25330,1
29728,31756,1
33320,18791,1
25854,27007,1
32944,23065,1
28846,29207,0
26748,29038,1
31504,24695,1
24307,25787,0
26582,27430,0
25881,28422,0
21447,30497,0
33851,36392,0
27048,26844,1
24786,26447,0
23362,32981,0
28185,31650,0
28928,26236,1
25674,28765,1
26404,24465,0
27237,25376,1
29513,28027,1
31081,28651,0
23955,30854,0
28257,29189,0
27954,28954,0
26623,28961,0
30149,29152,0
29283,28695,1
24980,28792,0
27563,25997,0
25272,26283,1
28775,30542,0
36122,27515,1
31981,30689,1
34210,25120,1
23607,25561,1
27610,29785,0
26622,33801,0
24720,33520,0
28603,32243,0
29533,28484,1
27154,28648,1
29500,29726,1
28149,33712,1
27170,28504,1
26145,31841,1
29206,29694,1
25762,28545,0
30352,26446,1
30464,27960,0
30502,24553,1
27478,28593,0
30308,24748,0
24906,30662,0
27212,26680,1
32808,31593,1
26298,26167,0
27649,27598,1
26775,25735,1
26779,32538,0
29925,27706,1
26205,29325,0
21144,32217,0
27031,30895,0
28652,28860,0
33415,26333,0
28479,26488,1
26795,31589,1
22718,29047,0
30632,26664,1
30209,27042,1
32748,27529,1
21801,33202,0
32863,23685,1
32752,30139,0
29168,26024,1
26419,25503,1
30144,30560,0
31142,31462,0
26696,32126,1
26063,25348,1
33198,32413,0
30760,31446,1
29117,28844,1
38510,30517,1
28532,26500,1
27847,31627,0
32988,30522,1
27871,23770,1
26149,26234,1
30238,32127,0
25987,30168,0
26264,28240,0
25079,29239,0
30296,25789,1
24140,30559,0
27389,25553,1
27153,25307,0
32790,26929,1
27011,28634,0
27978,24723,0
28976,26187,1
30494,24537,1
25450,27049,0
27496,26742,1
23672,31687,0
32624,24860,1
29329,27452,0
25164,26258,0
24461,25394,0
25529,33410,1
26073,34546,0
30956,26623,1
28621,30013,0
25814,27538,0
31344,21470,1
31152,26792,1
27964,25305,1
31018,26762,1
24400,32052,0
36787,28044,1
26243,27085,0
31010,28027,1
26208,22570,1
24713,32733,0
31322,26117,1
38907,22143,1
31115,29708,0
25020,28120,0
33168,31036,1
25369,25808,1
28391,28071,1
30752,29526,0
27735,29480,0
29960,30378,1
29483,28951,1
28305,24963,1
26142,27073,0
30830,29647,0
28621,25097,1
30270,26590,1
27449,26109,0
31145,25695,1
28743,28518,1
23467,26142,1
26493,26546,1
31252,28121,1
26567,30336,0
27438,26962,0
29159,25156,0
30050,24834,0
25687,29663,0
26639,26304,1
28308,23112,1
27109,24689,1
29515,30607,0
27408,26869,1
38690,21609,1
29498,25884,0
31363,27409,0
30191,28127,1
26854,28928,0
29269,27095,1
26172,28183,1
25430,26274,0
31672,28144,0
26237,32363,0
25794,29604,0
24525,30063,0
24502,27071,1
26146,30687,0
27151,25834,1
34860,25456,1
24679,31462,0
27371,26479,0
30154,30547,0
27855,29968,0
23739,27050,0
27736,28780,0
32574,25684,1
29837,29170,1
31343,28357,1
27393,31801,0
28110,24761,1
24020,29169,0
28035,40546,0
25372,26694,0
24235,28581,0
29639,24738,1
27335,27049,1
33136,25546,1
29159,28471,1
24794,28842,0
34462,26538,1
26702,31735,0
29181,24246,1
24950,27727,0
21191,37378,0
27744,31885,0
31021,31368,1
29556,27476,1
27981,34479,0
28384,30564,0
33411,27267,1
30792,29647,0
26497,28653,0
26295,32537,0
27305,31570,0
26019,27281,0
28980,26791,0
27422,29973,0
30027,23836,1
33487,30307,1
31963,24707,1
28026,29977,0
25804,28912,1
28249,29850,0
26733,30949,0
28911,23445,1
31669,27802,1
23947,26687,0
26361,28236,0
28950,30416,0
29823,27617,1
30902,27309,0
26873,37227,0
26071,29291,0
27349,29978,0
28343,23773,1
29209,26997,0
29156,25617,1
33617,31049,1
27042,25939,1
31558,26667,0
24471,27842,1
29230,26089,0
29669,23150,1
28943,28493,0
22980,30639,0
24283,33674,0
32209,24833,1
29510,28244,1
28093,25226,1
31512,25294,1
25404,33603,0
30647,26245,1
24539,30940,0
29288,29678,1
29277,28064,1
27077,32819,0
34448,24776,1
27962,29069,0
31810,26147,1
28864,30096,0
31276,27569,1
27574,25299,1
36195,23224,1
27582,31809,0
28909,28434,0
34750,25595,1
31230,23697,1
29132,23611,1
33963,24326,1
28697,28093,1
23668,30377,0
32866,24678,1
26569,30735,0
28010,27016,0
29824,30491,0
24472,28186,0
29607,26005,1
28038,24606,1
27141,26233,0
22801,33539,0
28390,25893,1
25647,31197,0
27627,26275,0
30835,32351,1
28620,29922,0
23124,28530,0
28501,28390,0
31441,27822,0
29773,29863,1
28827,31816,1
23892,34008,0
33824,23210,1
28899,26296,1
27286,26757,1
28256,34094,0
34632,31004,1
26681,28710,1
25383,26732,0
24933,25844,0
31051,25272,1
26297,30260,0
34358,28038,1
29338,26719,1
27832,26571,0
29114,29874,0
26098,24736,0
30541,30462,0
30870,29798,1
26111,29675,0
25676,27242,0
26607,26393,0
27392,23333,1
23657,29105,0
28308,27741,1
28092,28570,0
27112,26191,0
24715,25814,0
22346,29931,0
27462,26045,1
25798,28560,0
26659,28433,0
30217,25636,1
28344,22227,1
27344,27020,0
31472,26565,1
26080,24299,1
24107,25411,1
33284,19472,1
27869,24414,0
28417,25962,1
30201,28584,0
24618,28832,0
27833,29826,0
27387,30505,0
25251,28604,0
27560,28338,1
30559,22779,1
33171,32286,0
26034,28703,0
30413,27688,1
29906,26068,1
24146,26119,0
32415,30274,1
20406,35165,0
25004,29126,0
30493,28359,1
31400,28697,1
32284,25270,1
29668,29279,0
33424,25807,1
28435,28146,1
24133,30749,0
32061,21834,1
29786,26302,1
25692,31641,0
26991,28064,1
23227,29795,0
31437,25371,1
28116,31149,0
28693,24661,1
27290,26686,1
22268,32951,0
29121,26403,1
24930,33611,0
25035,29473,0
27690,29475,1
28586,30348,0
29463,28588,1
27254,32535,0
30414,27259,0
32856,25207,1
27176,28431,1
24038,25348,0
26961,24389,0
27205,26140,1
32571,28029,1
27100,25452,1
32466,25004,1
27008,31264,0
30174,24187,1
25362,27000,0
28109,25590,1
29932,27590,1
24895,26653,0
28565,24611,1
24226,29754,0
29196,28005,1
25205,24725,1
30961,30219,0
24062,29780,0
30316,27265,1
28946,27666,1
25903,31078,0
27494,25354,0
27608,28632,1
26755,32613,0
28283,33028,0
25279,25062,0
23290,29276,0
31478,24594,0
25926,33317,0
25967,29755,0
27153,28008,0
23353,30610,0
35882,21069,1
24444,22640,1
28003,26697,0
25092,29990,0
29815,28400,1
33159,25556,1
24357,25720,1
29908,27591,0
23372,28644,0
27947,27127,0
28599,24589,1
27427,25576,0
25463,24094,1
30964,25537,1
31821,28561,1
23777,28084,1
28611,29125,0
21615,29130,0
26433,24758,0
33384,24565,1
31339,27712,1
30097,23591,1
27811,27362,1
26022,25009,1
26402,29754,0
26952,26724,1
26223,23387,0
28433,27321,1
27850,25381,1
28976,30039,0
25588,24842,0
28787,24592,0
30066,27136,1
32231,28702,1
28201,26153,1
36428,24836,1
32630,25710,1
30664,23992,1
28310,26182,0
29213,26623,1
30271,27765,0
32259,24444,1
29062,24734,1
29563,25009,1
30785,25660,1
30038,27026,1
31431,22747,1
31610,25810,1
26878,32614,1
24643,29906,0
29091,26535,0
29965,33179,0
28682,25692,1
27867,24851,1
26979,27767,0
26023,26551,0
23128,30469,0
28639,26733,0
29790,25744,0
24844,33137,0
28426,29514,1
25698,30725,0
28359,29291,1
22856,33631,0
29364,25161,1
26915,26432,1
26826,24704,1
31035,32010,0
28606,29106,0
27775,27299,0
30933,26100,1
33826,28407,1
26950,31113,0
27416,25804,1
28614,26707,1
22884,32250,0
25032,36209,0
34760,22063,1
31138,23733,1
30098,27282,1
24952,29717,0
30485,27826,1
27470,30115,0
29641,28617,1
30480,28635,1
26907,24492,1
29116,26393,1
23098,33323,0
22449,26649,0
29495,30082,1
30214,26157,0
27119,31815,0
31543,23662,1
33004,25527,1
28518,30126,0
27799,25747,1
35507,23897,1
23340,30486,0
24716,30179,0
27826,27662,1
26469,28913,1
23617,27325,1
23056,28437,0
30015,27260,1
28779,29501,1
33212,25327,1
27565,29694,1
27965,24844,1
27275,26437,0
30421,22951,1
30253,25876,1
28724,27740,0
24570,27197,0
26509,28563,1
27238,28532,0
28195,28826,1
27341,29996,0
24297,31671,0
29688,26215,1
25726,27427,1
30961,22070,1
29038,25982,1
28768,34366,0
29674,30041,1
30283,21902,1
29014,26519,1
30422,27654,0
28424,21359,1
29586,25832,1
31122,24638,1
22414,27047,0
26310,32760,0
24506,26021,0
27926,25649,1
27003,26702,1
27804,24727,1
28493,30570,1
31190,26369,1
25267,29456,1
30751,24598,0
29954,23848,1
29040,25802,1
29774,25072,1
29299,24935,1
25474,29598,0
25902,29177,0
26814,25961,0
30365,26053,1
26342,24973,0
25726,27036,0
29023,26961,1
32486,22200,1
27569,28435,0
29779,29749,1
27781,28001,1
31008,32354,0
26080,26260,1
32952,27494,1
32991,28087,0
32780,23692,1
26223,27531,1
28264,28029,0
31746,30163,0
24258,32117,0
28375,33507,0
25669,32402,0
30164,28029,1
26892,27213,1
30043,31669,1
28870,25513,1
27479,32017,0
36263,30657,1
24915,32950,0
33851,26974,1
26005,32377,1
26965,33777,0
28162,25666,1
28213,25041,0
26520,31981,0
29870,24798,1
25895,30025,1
24628,27241,0
26180,27207,0
25491,25829,0
26514,32074,0
25009,30888,0
29007,28170,1
30485,31315,1
32263,23088,1
28207,29255,0
23028,29845,0
27542,28263,0
27020,28154,0
30429,26478,0
24469,31576,0
23712,28548,0
28482,25655,0
28682,26509,1
23925,25419,1
26916,30843,0
27813,27145,0
24993,27141,0
27007,29027,0
30210,23914,1
30653,29270,1
28839,26402,0
29139,29143,1
33729,27597,0
27255,27743,0
26381,25635,0
29727,23331,1
30736,26718,1
28014,27045,0
24137,31541,0
33177,27024,1
23385,30094,0
27298,29465,0
30463,26025,1
26736,31394,0
27460,23411,1
31076,28712,1
22651,33412,0
21352,32534,0
27292,23285,1
29683,25514,1
23568,28785,0
28608,32137,0
29338,27907,1
31533,26848,1
27930,28507,1
28439,30438,0
26729,32186,0
22836,31177,0
23798,29175,0
25234,27779,0
29297,28231,1
33384,33250,0
34099,24558,1
28015,30454,1
28823,26724,0
32033,24487,1
25698,30150,0
29360,31020,0
24888,29375,0
29370,24816,1
23266,28205,0
24793,27525,0
29754,29119,0
27001,23038,1
30149,25321,1
26305,26989,0
27041,26528,1
34974,25585,1
28503,23219,1
27786,28997,0
31723,24064,1
25319,24363,1
28458,30615,0
25612,31879,0
27469,28256,0
26750,30119,0
28333,25845,0
28995,25553,1
26720,29469,0
25424,28225,0
32538,25645,1
31103,30746,1
26507,28780,1
23479,28957,0
28389,27243,0
27180,30254,0
28260,31057,1
25305,27315,0
29123,28075,0
28338,27474,1
25801,31681,0
25367,27554,1
26572,25257,1
29806,29069,1
31813,28143,1
25138,24110,1
30060,23667,1
24657,35609,0
26644,24731,1
28603,26203,1
28662,29201,0
27362,27225,1
26412,30732,0
29091,30261,1
25697,26780,0
28653,26065,0
28419,32761,0
29779,31435,0
27432,29965,1
27125,31171,0
28409,27037,1
26322,26416,0
28547,28095,1
25397,35066,0
32069,27396,1
22565,32962,0
34950,23677,1
28172,27218,1
23491,31090,0
26031,34850,0
23488,34333,0
27392,29213,1
27799,34613,0
25684,30672,0
26303,29728,0
33281,31318,0
25353,28673,0
33573,24954,1
28361,25759,1
26801,26811,0
29190,24431,1
29966,24615,0
26102,29407,0
24558,24503,0
26609,28072,1
25584,25075,1
29158,27250,0
30411,27358,1
29235,28500,1
32297,28100,0
26377,28771,0
26086,26042,0
35733,29257,1
26327,30842,0
34884,31822,0
27487,29787,0
27765,27293,1
24926,31282,0
29739,25012,0
34124,27892,1
24828,26478,1
30571,26808,1
29546,26497,1
26346,30306,0
26272,25714,1
27822,30802,0
31395,26554,1
27197,31921,0
29755,28859,1
31523,28860,1
30938,25266,1
27008,30261,0
30178,27671,1
36406,29393,1
26487,29102,0
28806,26120,1
29817,29348,0
24981,27846,0
24259,28135,1
29445,25748,1
29003,26624,0
27301,25588,1
32247,24549,1
28203,28414,1
25883,24376,0
26989,30511,1
26392,24009,1
25626,29247,0
23595,31476,0
26848,25016,0
30458,30674,1
28119,29498,0
26603,28846,0
32293,26054,1
25244,24969,1
25792,30790,1
27220,24490,1
28790,26894,1
35024,23190,1
23720,28662,0
30771,26483,1
29181,28524,1
28621,30864,0
30036,27004,1
22585,33359,0
24231,29763,0
34685,25144,1
25047,26112,0
25498,28623,1
31752,26528,1
30056,27146,0
23589,26856,1
28384,27166,1
25922,28546,0
29490,29023,1
30408,21545,1
28262,29320,0
27871,33632,0
27898,28781,0
27923,28043,1
27084,31463,1
21613,33460,0
27181,26587,1
29167,24299,1
28375,25629,0
23861,29809,0
28237,31444,0
28925,26430,1
30324,28142,0
30105,30796,1
27728,25575,1
38260,25198,1
27183,26304,1
26422,29007,0
24975,26982,0
30930,25519,1
28835,31364,0
29069,26293,1
28920,30838,0
28493,29070,0
26802,27036,1
34313,26225,1
29472,27393,0
29832,26096,0
32176,29167,1
23568,30553,0
31610,27618,0
28915,26408,1
27730,28476,0
28050,28027,1
29003,28539,0
30355,23913,1
30353,28792,0
30253,21722,1
24850,27981,1
26480,27663,1
24194,27713,0
28803,28209,0
26620,23901,1
28202,34476,0
30907,29661,1
26261,31787,0
26052,29156,1
24165,32366,0
27959,26304,1
26323,26375,1
30573,24346,1
23361,27506,0
32105,23455,1
25736,25558,0
28021,27670,1
28795,31006,0
29673,28192,1
31944,28258,0
27296,32057,0
26503,25070,1
26543,27822,1
30149,26625,1
26251,26208,0
26277,27771,0
32394,26417,0
27676,30493,0
28290,24217,1
25703,29257,0
24493,30541,0
29864,28171,1
29227,27326,1
26079,25720,1
24036,27049,0
28379,27999,0
27577,29551,0
29734,22921,1
28522,28180,0
22406,30573,0
27032,33350,0
34860,26203,1
29009,23975,1
30113,26323,1
27851,26543,1
24648,29800,0
32756,23571,1
33359,25528,1
27022,31066,0
26006,26917,0
25219,26648,0
26718,27834,1
33111,23506,1
34851,26559,1
28866,21550,1
24267,27935,0
26130,28696,0
33446,27809,1
25051,33504,0
27204,27753,0
25220,28380,0
29569,28935,0
31381,28803,0
31203,23875,1
29458,30688,0
22563,29420,0
26919,28113,0
25227,33058,0
31027,27239,1
29984,23241,1
29054,29200,0
26088,29922,1
30503,22082,1
31126,28097,1
31790,30253,1
26723,25815,1
26703,28165,1
24763,28264,0
27151,28663,0
22302,30332,0
28794,28865,1
28164,24961,1
24781,25002,1
29892,24895,1
30615,29944,0
23962,27759,0
30580,32212,1
27645,26341,1
27665,26400,0
25286,33140,0
29284,28244,0
21571,31045,0
26953,29089,0
26550,30254,0
30579,25048,1
28673,23509,1
30307,30811,1
22612,29970,0
24230,34259,0
23311,27105,0
30944,24175,1
24118,31134,1
31624,28961,1
25964,29578,0
27450,27607,1
24796,28609,0
28652,25256,1
28657,24522,1
26518,30063,0
28717,28771,0
24266,31194,1
25846,29869,0
31761,25723,1
26274,27518,1
24852,29035,0
24590,28812,0
30000,28966,1
31394,25287,1
26622,24843,1
28266,31948,0
28511,37350,0
28079,24602,1
23965,27826,0
27611,27337,1
23763,28856,0
24590,27005,0
29064,28973,0
33470,22586,1
25361,25249,1
28714,29663,0
26502,28385,0
26173,29349,0
28902,26816,1
26745,22070,0
25229,30445,0
28536,23565,0
27371,26771,1
29700,25915,1
33140,25441,1
26456,28050,0
28278,28388,0
22945,28000,1
25449,31432,0
29495,26998,1
29078,25578,1
24467,28401,0
28913,24816,1
28584,28068,0
28785,29331,1
26827,32214,0
28127,31575,0
26814,27406,1
29645,30341,0
27705,27154,0
35941,27102,1
26602,28948,0
23204,37956,0
24369,26565,1
33907,27358,0
28979,27961,1
28530,32701,0
31956,26367,1
29859,24858,1
31276,28640,1
26442,31138,0
30698,25252,1
28198,33884,0
26917,29446,0
24810,26742,1
34421,28025,1
28768,28927,0
27767,29931,0
27734,28258,0
30007,30437,0
26729,27293,0
25616,31813,0
27390,27318,0
25649,30639,1
33893,26582,1
27664,25273,1
25799,26310,1
26242,28812,1
29550,29795,0
27184,26979,1
28754,26525,1
30311,27998,1
30684,27550,1
36096,30434,1
29383,29560,1
23980,26487,1
25868,33623,0
28063,28357,1
26501,30107,1
25067,30609,0
30195,30080,0
22762,28258,0
25207,27817,0
25390,30054,0
30782,28331,1
25116,37612,0
28717,27214,1
26416,28652,0
24794,29372,0
27791,30220,0
25362,28204,1
27341,28107,1
26377,29934,0
29425,27187,1
26085,32128,0
26466,27041,0
29136,28687,1
25415,26956,0
23334,29500,0
29648,29352,1
27225,30804,0
25632,28888,0
26556,27851,1
25750,26285,0
27054,26810,0
26530,23526,1
28734,35296,0
31957,25143,0
27450,28952,0
24518,28419,0
26201,27702,1
24429,28508,0
34312,23418,1
27977,31462,1
30246,29561,1
28296,28088,0
22590,27542,0
24112,32061,0
26682,26661,1
27534,29554,0
25551,28587,0
25432,30798,0
26270,28632,1
29087,25099,1
30879,25682,1
28966,28118,1
23766,25133,0
22877,30486,0
30198,28143,0
29833,25837,1
25178,28293,0
30473,26033,1
26470,28812,0
30071,28885,1
24605,24057,0
29139,24719,1
28715,23372,1
28813,30650,1
31431,29295,1
28771,29669,0
31155,28297,0
25146,24665,0
28707,32923,0
25881,31034,0
25371,31289,0
27361,26047,1
23984,31042,1
26010,29185,0
30411,24549,1
30516,24525,1
27066,28773,0
27420,25384,1
25619,30044,0
27554,35059,0
25486,27661,0
29426,29995,0
31646,23137,1
32741,29969,0
25566,26333,0
30923,32195,0
31455,29470,1
27039,31155,0
29023,31003,0
23202,25684,0
27961,26939,1
29963,24399,1
31873,27472,1
26173,29126,1
23191,29785,0
24735,26469,0
29793,25471,1
25365,30942,0
28631,27286,1
25685,28881,1
26582,29150,1
22514,31577,0
28125,30612,0
27944,29142,1
27558,30166,0
29586,26691,1
23227,30047,0
27405,27135,0
26845,30290,0
33250,19934,1
28910,26322,1
27463,30400,0
29187,32810,0
32817,22456,1
37320,31260,1
28167,24826,1
33996,29166,1
27944,29464,0
26893,27883,0
24362,33008,0
32066,31973,0
29175,27741,1
28927,24706,1
28772,27715,0
26919,27680,1
30305,27816,1
28004,25413,1
25718,25117,0
27044,24928,1
29119,26089,0
31889,22814,1
25654,26924,1
27092,27312,0
25179,29460,0
29714,27179,1
31757,32701,0
29869,29238,0
28644,21270,1
27300,24295,1
31790,28383,1
31370,29043,1
28535,32740,0
24579,31906,0
26417,34838,1
29076,25831,0
31675,24958,1
32779,25170,1
27714,24656,1
28568,28904,0
30727,26417,0
24694,28307,0
25730,31372,0
27210,28193,1
31202,29084,0
28224,24424,1
25577,28938,1
28967,26503,1
22693,31904,0
26199,32058,0
30164,27299,0
29647,25905,0
21788,27319,0
25503,25210,0
25405,27060,1
28250,23281,1
23594,26877,0
26806,27359,0
25229,27718,0
27178,25031,1
28040,26509,1
28081,25509,1
31528,25988,1
30677,28117,1
24182,32526,0
29405,25271,0
29812,23753,1
29589,27092,1
27746,25262,0
27858,27519,0
32137,27513,0
27879,27096,0
25259,27652,0
26831,32561,0
27467,27827,1
20529,32132,0
23472,27533,0
30307,28241,1
25400,32620,0
26895,28747,0
27962,27248,1
29601,30564,0
34752,26337,1
26542,31711,0
29096,26026,1
25977,27346,0
34812,26424,1
24892,29309,0
30698,26260,0
31237,24650,1
24463,29030,0
31831,24424,1
28353,30277,1
26515,26371,1
20767,37764,0
29592,31509,0
32503,23309,1
33685,27642,1
25329,26368,0
33277,23670,1
27626,24976,0
25093,29958,0
25721,26340,0
27929,30066,1
27939,32580,0
30429,22307,1
26695,23364,1
30431,28429,1
33110,23605,1
25815,23745,1
28184,22273,1
23035,24619,0
28018,24895,1
32063,27597,0
29814,31272,0
25575,31182,0
30913,24780,1
28805,25660,0
28622,25961,1
33309,29185,1
31125,22287,1
30578,27963,1
34861,23947,1
26736,27368,0
27861,29873,1
28482,25331,0
28127,30724,0
28381,27025,1
30798,25322,1
27900,29641,1
24608,27656,1
30186,25753,1
32800,23979,1
27664,30852,0
29264,26712,1
25044,30073,0
29231,28881,1
31152,27410,1
29065,26934,1
24402,27827,0
30317,32145,0
33794,26049,0
29969,29460,1
30695,29528,0
28962,25839,1
33760,34942,0
28722,28450,1
30075,29388,0
30737,30502,1
24660,36216,0
37557,26016,1
24827,24788,0
